Code_BV_Complet;Libellé commune;Exprimés;PCT_RN;PCT_UG;PCT_ENS
33334291;Saint-Léger-de-Balson;151;52.98;19.87;20.53
33334311;Saint-Léon;206;44.17;25.24;22.82
33334321;Saint-Loubert;127;37.01;22.05;37.8
33334331;Saint-Loubès;611;45.66;31.26;15.38
33334332;Saint-Loubès;620;36.77;34.84;20.97
33334333;Saint-Loubès;610;36.07;30.0;23.61
33334334;Saint-Loubès;663;33.48;33.94;22.47
33334335;Saint-Loubès;596;38.26;30.7;22.15
33334336;Saint-Loubès;523;34.03;32.31;22.75
33334337;Saint-Loubès;524;37.21;33.02;19.08
33334338;Saint-Loubès;669;36.77;29.75;22.87
33334341;Saint-Louis-de-Montferrand;461;43.82;35.36;16.05
33334342;Saint-Louis-de-Montferrand;416;42.07;35.34;14.42
33334351;Saint-Macaire;926;33.91;41.79;19.87
33334361;Saint-Magne;610;46.56;25.25;23.77
33334371;Saint-Magne-de-Castillon;436;49.77;18.81;30.05
33334372;Saint-Magne-de-Castillon;547;54.48;15.36;27.24
33334381;Saint-Maixant;1026;42.69;29.92;23.1
33334391;Saint-Mariens;742;56.87;20.49;19.27
33334401;Saint-Martial;127;35.43;28.35;30.71
33334411;Saint-Martin-Lacaussade;571;46.41;21.89;27.5
33334421;Saint-Martin-de-Laye;256;59.77;18.36;19.53
33334431;Saint-Martin-de-Lerm;91;39.56;29.67;30.77
33334441;Saint-Martin-de-Sescas;265;41.51;26.79;28.68
33334451;Saint-Martin-du-Bois;431;52.9;22.27;23.9
33334461;Saint-Martin-du-Puy;89;41.57;24.72;26.97
33334471;Saint-Médard-de-Guizières;624;60.58;17.95;19.07
33334472;Saint-Médard-de-Guizières;476;59.66;21.01;18.49
33334481;Saint-Médard-d'Eyrans;559;41.86;28.62;25.94
33334482;Saint-Médard-d'Eyrans;608;35.36;27.14;34.05
33334483;Saint-Médard-d'Eyrans;612;36.76;28.59;31.37
33334491;Saint-Médard-en-Jalles;524;34.54;32.25;27.1
33334492;Saint-Médard-en-Jalles;532;21.99;35.71;40.23
33334493;Saint-Médard-en-Jalles;577;25.82;32.76;37.44
33334494;Saint-Médard-en-Jalles;535;34.21;35.51;26.54
33334495;Saint-Médard-en-Jalles;443;25.96;27.77;42.21
33334496;Saint-Médard-en-Jalles;564;31.74;36.17;28.01
33334497;Saint-Médard-en-Jalles;489;28.02;36.4;30.47
33334498;Saint-Médard-en-Jalles;556;29.5;32.73;34.53
33334499;Saint-Médard-en-Jalles;596;26.01;32.72;37.42
333344910;Saint-Médard-en-Jalles;648;25.77;34.41;35.34
333344911;Saint-Médard-en-Jalles;584;23.46;33.22;39.73
333344912;Saint-Médard-en-Jalles;550;20.91;37.09;38.18
333344913;Saint-Médard-en-Jalles;523;27.92;34.03;32.31
333344914;Saint-Médard-en-Jalles;347;30.84;34.58;29.39
333344915;Saint-Médard-en-Jalles;521;25.72;32.25;37.04
333344916;Saint-Médard-en-Jalles;626;35.3;32.43;28.12
333344917;Saint-Médard-en-Jalles;599;34.39;30.38;31.55
333344918;Saint-Médard-en-Jalles;563;24.33;35.88;35.35
333344919;Saint-Médard-en-Jalles;632;25.47;34.65;34.81
333344920;Saint-Médard-en-Jalles;556;33.99;31.12;31.65
333344921;Saint-Médard-en-Jalles;542;29.7;35.42;29.52
333344922;Saint-Médard-en-Jalles;602;31.56;33.72;28.57
333344923;Saint-Médard-en-Jalles;687;26.06;30.28;39.88
333344924;Saint-Médard-en-Jalles;564;29.43;30.5;36.17
333344925;Saint-Médard-en-Jalles;681;26.87;32.01;37.15
333344926;Saint-Médard-en-Jalles;432;28.7;34.26;31.94
333344927;Saint-Médard-en-Jalles;635;31.81;33.07;29.92
333344928;Saint-Médard-en-Jalles;512;27.15;26.56;40.63
333344929;Saint-Médard-en-Jalles;488;36.27;32.99;27.05
333344930;Saint-Médard-en-Jalles;476;22.69;43.49;28.78
333344931;Saint-Médard-en-Jalles;574;31.01;31.53;33.97
333344932;Saint-Médard-en-Jalles;596;26.85;31.04;37.25
333344933;Saint-Médard-en-Jalles;310;29.35;40.32;25.81
33334501;Saint-Michel-de-Castelnau;138;47.83;30.43;21.01
33334511;Saint-Michel-de-Fronsac;290;43.45;24.83;30.34
33334521;Saint-Michel-de-Rieufret;401;41.4;26.18;26.18
33334531;Saint-Michel-de-Lapujade;114;51.75;17.54;27.19
33334541;Saint-Morillon;1008;33.83;30.46;32.54
33334561;Saint-Palais;295;48.81;20.68;27.46
33334571;Saint-Pardon-de-Conques;385;42.6;22.6;32.47
33334581;Saint-Paul;540;55.74;19.07;22.04
33334591;Saint-Pey-d'Armens;117;49.57;19.66;30.77
33334601;Saint-Pey-de-Castets;368;50.27;18.75;27.72
33334611;Saint-Philippe-d'Aiguille;197;54.82;13.71;30.46
33334621;Saint-Philippe-du-Seignal;292;54.45;14.73;28.08
33334631;Saint-Pierre-d'Aurillac;712;34.97;39.47;21.07
33334641;Saint-Pierre-de-Bat;182;35.16;32.97;28.02
33334651;Saint-Pierre-de-Mons;653;35.83;32.77;27.72
33334661;Saint-Quentin-de-Baron;460;48.48;26.09;23.7
33334662;Saint-Quentin-de-Baron;655;46.87;29.01;21.68
33334671;Saint-Quentin-de-Caplong;152;41.45;25.0;30.26
33334681;Sainte-Radegonde;225;49.33;23.11;26.67
33334701;Saint-Romain-la-Virvée;492;46.54;23.98;27.85
33334711;Saint-Sauveur;695;58.99;23.17;13.81
33334721;Saint-Sauveur-de-Puynormand;214;50.93;20.09;27.1
33334731;Saint-Savin;793;62.17;17.78;18.92
33334732;Saint-Savin;794;58.82;21.28;18.64
33334741;Saint-Selve;595;38.82;29.92;29.24
33334742;Saint-Selve;602;35.88;30.4;30.23
33334743;Saint-Selve;606;37.29;28.22;30.53
33334751;Saint-Seurin-de-Bourg;216;46.76;21.3;29.17
33334761;Saint-Seurin-de-Cadourne;368;58.7;22.83;12.5
